timestamp,value,30dayhourlyaverage,samples
2011-07-16 15:00:00,77.96,,
2011-07-16 16:00:00,75.61,,
2011-07-16 17:00:00,76.48,76.78,2
2011-07-16 18:00:00,76.60,76.68,3
2011-07-16 19:00:00,76.17,76.66,4
2011-07-16 20:00:00,74.50,76.56,5
2011-07-16 21:00:00,73.98,75.87,5
2011-07-16 22:00:00,73.20,75.55,5
2011-07-16 23:00:00,74.51,74.89,5
2011-07-17 00:00:00,74.84,74.47,5
2011-07-17 01:00:00,73.34,74.21,5
2011-07-17 02:00:00,73.46,73.97,5
2011-07-17 03:00:00,74.26,73.87,5
2011-07-17 04:00:00,74.58,74.08,5
2011-07-17 05:00:00,74.35,74.1,5
2011-07-17 06:00:00,74.48,74.0,5
2011-07-17 07:00:00,75.70,74.23,5
2011-07-17 08:00:00,77.43,74.67,5
2011-07-17 09:00:00,77.73,75.31,5
2011-07-17 10:00:00,78.13,75.94,5
2011-07-17 11:00:00,79.34,76.69,5
2011-07-17 12:00:00,79.96,77.67,5
2011-07-17 13:00:00,80.10,78.52,5
2011-07-17 14:00:00,79.73,79.05,5
2011-07-17 15:00:00,79.16,79.45,5
2011-07-17 16:00:00,78.44,79.66,5
2011-07-17 17:00:00,77.67,79.48,5
2011-07-17 18:00:00,76.90,79.02,5
2011-07-17 19:00:00,76.19,78.38,5
2011-07-17 20:00:00,76.05,77.67,5
2011-07-17 21:00:00,76.17,77.05,5
2011-07-17 22:00:00,75.97,76.6,5
2011-07-17 23:00:00,75.14,76.26,5
2011-07-18 00:00:00,75.58,75.9,5
2011-07-18 01:00:00,74.65,75.78,5
2011-07-18 02:00:00,74.01,75.5,5
2011-07-18 03:00:00,,75.07,4
2011-07-18 04:00:00,,74.84,3
2011-07-18 05:00:00,,74.75,2
2011-07-18 06:00:00,,74.33,
2011-07-18 07:00:00,76.18,,
2011-07-18 08:00:00,77.13,,
2011-07-18 09:00:00,78.22,76.66,2
2011-07-18 10:00:00,78.94,77.18,3
2011-07-18 11:00:00,79.39,77.62,4
2011-07-18 12:00:00,80.22,77.97,5
2011-07-18 13:00:00,79.74,78.78,5
2011-07-18 14:00:00,79.94,79.3,5
2011-07-18 15:00:00,79.39,79.65,5
2011-07-18 16:00:00,78.91,79.74,5
2011-07-18 17:00:00,76.86,79.64,5
2011-07-18 18:00:00,76.79,78.97,5
2011-07-18 19:00:00,76.28,78.38,5
2011-07-18 20:00:00,76.37,77.65,5
2011-07-18 21:00:00,75.78,77.04,5
2011-07-18 22:00:00,75.49,76.42,5
2011-07-18 23:00:00,75.32,76.14,5
2011-07-19 00:00:00,75.25,75.85,5
2011-07-19 01:00:00,75.02,75.64,5
2011-07-19 02:00:00,75.39,75.37,5
2011-07-19 03:00:00,75.14,75.29,5
2011-07-19 04:00:00,75.14,75.22,5
2011-07-19 05:00:00,75.12,75.19,5
2011-07-19 06:00:00,75.03,75.16,5
2011-07-19 07:00:00,76.35,75.16,5
2011-07-19 08:00:00,77.27,75.36,5
2011-07-19 09:00:00,78.41,75.78,5
2011-07-19 10:00:00,79.04,76.44,5
2011-07-19 11:00:00,79.69,77.22,5
2011-07-19 12:00:00,79.58,78.15,5
2011-07-19 13:00:00,79.82,78.8,5
2011-07-19 14:00:00,79.24,79.31,5
2011-07-19 15:00:00,78.68,79.47,5
2011-07-19 16:00:00,78.59,79.4,5
2011-07-19 17:00:00,77.47,79.18,5
2011-07-19 18:00:00,76.92,78.76,5
2011-07-19 19:00:00,76.42,78.18,5
2011-07-19 20:00:00,76.38,77.62,5
2011-07-19 21:00:00,76.25,77.16,5
2011-07-19 22:00:00,75.82,76.69,5
2011-07-19 23:00:00,75.78,76.36,5
2011-07-20 00:00:00,75.80,76.13,5
2011-07-20 01:00:00,75.91,76.01,5
2011-07-20 02:00:00,75.77,75.91,5
2011-07-20 03:00:00,73.03,75.82,5
2011-07-20 04:00:00,73.32,75.26,5
2011-07-20 05:00:00,71.90,74.77,5
2011-07-20 06:00:00,70.96,73.99,5
2011-07-20 07:00:00,71.77,73.0,5
2011-07-20 08:00:00,73.41,72.2,5
2011-07-20 09:00:00,75.61,72.27,5
2011-07-20 10:00:00,77.01,72.73,5
2011-07-20 11:00:00,77.97,73.75,5
2011-07-20 12:00:00,78.42,75.15,5
2011-07-20 13:00:00,79.11,76.48,5
2011-07-20 14:00:00,79.13,77.62,5
2011-07-20 15:00:00,79.33,78.33,5
2011-07-20 16:00:00,78.55,78.79,5
2011-07-20 17:00:00,77.90,78.91,5
2011-07-20 18:00:00,76.79,78.8,5
2011-07-20 19:00:00,76.29,78.34,5
2011-07-20 20:00:00,,77.77,4
2011-07-20 21:00:00,,77.38,3
2011-07-20 22:00:00,,76.99,2
2011-07-20 23:00:00,,76.54,
2011-07-21 00:00:00,,,
2011-07-21 01:00:00,75.79,,
2011-07-21 02:00:00,75.92,,
2011-07-21 03:00:00,75.73,75.86,2
2011-07-21 04:00:00,75.68,75.81,3
2011-07-21 05:00:00,75.41,75.78,4
2011-07-21 06:00:00,75.88,75.71,5
2011-07-21 07:00:00,76.45,75.72,5
2011-07-21 08:00:00,77.29,75.83,5
2011-07-21 09:00:00,78.31,76.14,5
2011-07-21 10:00:00,78.30,76.67,5
2011-07-21 11:00:00,78.07,77.25,5
2011-07-21 12:00:00,78.32,77.68,5
2011-07-21 13:00:00,77.03,78.06,5
2011-07-21 14:00:00,77.23,78.01,5
2011-07-21 15:00:00,75.97,77.79,5
2011-07-21 16:00:00,75.78,77.32,5
2011-07-21 17:00:00,74.88,76.87,5
2011-07-21 18:00:00,74.71,76.18,5
2011-07-21 19:00:00,75.32,75.71,5
2011-07-21 20:00:00,74.07,75.33,5
2011-07-21 21:00:00,73.87,74.95,5
2011-07-21 22:00:00,74.58,74.57,5
2011-07-21 23:00:00,75.16,74.51,5
2011-07-22 00:00:00,74.88,74.6,5
2011-07-22 01:00:00,75.13,74.51,5
2011-07-22 02:00:00,74.70,74.72,5
2011-07-22 03:00:00,75.22,74.89,5
2011-07-22 04:00:00,75.31,75.02,5
2011-07-22 05:00:00,75.26,75.05,5
2011-07-22 06:00:00,75.16,75.12,5
2011-07-22 07:00:00,74.38,75.13,5
2011-07-22 08:00:00,74.25,75.07,5
2011-07-22 09:00:00,76.75,74.87,5
2011-07-22 10:00:00,78.19,75.16,5
2011-07-22 11:00:00,78.81,75.75,5
2011-07-22 12:00:00,78.71,76.48,5
2011-07-22 13:00:00,79.57,77.34,5
2011-07-22 14:00:00,77.72,78.41,5
2011-07-22 15:00:00,78.25,78.6,5
2011-07-22 16:00:00,77.85,78.61,5
2011-07-22 17:00:00,77.99,78.42,5
2011-07-22 18:00:00,77.26,78.28,5
2011-07-22 19:00:00,76.35,77.81,5
2011-07-22 20:00:00,76.25,77.54,5
2011-07-22 21:00:00,75.97,77.14,5
2011-07-22 22:00:00,76.05,76.76,5
2011-07-22 23:00:00,75.84,76.38,5
2011-07-23 00:00:00,75.75,76.09,5
2011-07-23 01:00:00,74.78,75.97,5
2011-07-23 02:00:00,75.33,75.68,5
2011-07-23 03:00:00,75.55,75.55,5
2011-07-23 04:00:00,75.41,75.45,5
2011-07-23 05:00:00,75.11,75.36,5
2011-07-23 06:00:00,75.41,75.24,5
2011-07-23 07:00:00,76.13,75.36,5
2011-07-23 08:00:00,77.15,75.52,5
2011-07-23 09:00:00,78.02,75.84,5
2011-07-23 10:00:00,78.19,76.36,5
